418.629,0,0,0,4,10,8,2,6,0,0,0,14,0,15,8,0,0,2,0,7,2,14,2,7,0
375.626,0,1,0,6,8,0,5,0,2,0,14,0,15,3,0,5,0,1,7,2,12,6,1,13,3
364.998,0,1,5,4,0,3,0,2,0,15,0,13,3,0,3,2,0,4,10,12,2,0,15,7,3
356.441,1,2,4,2,6,0,0,0,11,0,9,6,1,5,2,0,0,6,12,1,3,18,4,8,3
327.149,1,0,4,2,0,0,0,13,0,10,4,3,0,0,0,5,3,10,5,1,22,9,1,8,2
315.049,1,2,2,0,0,0,12,0,10,3,0,0,0,0,4,7,10,1,0,22,6,4,7,10,3
302.414,1,1,0,0,0,9,0,9,4,1,0,0,0,4,1,10,3,1,23,9,2,15,7,1,3
299.124,1,0,1,0,8,0,8,4,0,1,0,0,5,0,6,0,3,22,15,2,4,15,6,0,3
290.31,0,1,0,5,0,5,5,0,1,0,0,4,0,6,4,0,25,2,5,12,19,2,5,0,5
289.751,1,0,5,0,3,2,2,0,0,0,3,0,6,2,2,24,5,1,14,19,5,2,5,0,4
286.128,0,2,0,2,2,0,0,0,0,7,1,6,0,0,24,3,5,19,5,13,2,7,0,3,5
287.22,1,0,3,1,0,0,0,0,5,1,7,0,0,24,2,3,11,19,5,7,5,2,5,0,3
